22.63,6.2
20.35,5.93
53.94,81.16
20.68,5.41
55.34,107.24
50.19,70.84
56.51,107.65
26.97,9.14
22.83,6.93
28.43,10.61
45.56,49.45
24.15,8.03
26.15,9.86
56.63,108.5
42.34,43.68
50.32,67.68
22.65,6.36
41.04,38.98
46.16,52.99
17.32,4.24
28.44,10.27
41.47,41.55
17.2,2.51
20.53,5.19
55.33,95.71
28.67,11.22
22.04,6.34
47.77,54.44
26.42,9.97
17.13,1.17
28.46,11.18
26.99,9.36
18.94,2.13
20.1,5.94
52.78,77.71
26.86,9.99
40.43,40.83
17.63,2.81
28.86,10.77
26.79,8.85
20.41,5.71
42.73,41.99
20.06,5.6
17.57,3.11
24.41,8.17
45.61,57.76
53.82,78.1
20.22,5.52
22.63,6.56
51.38,74.34
51.71,81.26
24.99,8.03
24.43,7.36
53.52,75.13
53.3,76.23
24.86,7.15
28.75,10.44
48.36,58.64
52.72,80.8
43.29,39.32
45.47,52.79
17.17,2.77
40.76,37.63
51.33,68.11
41.95,41.85
50.85,76.13
45.32,53.7
24.02,7.22
55.86,91.29
20.68,5.04
26.64,9.16
56.31,109.0
45.74,49.14
41.7,40.08
52.42,78.81
47.69,54.37
40.13,40.52
51.82,75.41
24.35,7.89
43.02,40.32
22.56,6.36
26.45,9.95
52.35,68.4
18.55,4.51
53.44,73.48
42.03,42.57
43.54,43.75
28.58,10.62
42.13,39.5
26.57,8.53
52.22,70.32
40.97,37.71
18.78,2.18
28.6,10.96
20.22,5.93
17.57,4.4
40.1,43.41
45.73,55.92
24.3,7.19
28.93,11.18
53.6,73.49
40.92,42.86
28.86,10.41
46.53,49.49
26.01,9.29
28.6,11.29
58.03,92.54
55.37,104.43
24.39,7.24
24.88,7.05
18.65,1.35
52.06,69.08
47.27,57.03
51.76,71.43
43.53,37.9
45.9,54.35
41.91,40.52
46.85,54.24
28.47,10.55
20.97,5.03
28.73,10.59
53.77,81.2
45.06,51.04
46.11,54.46
57.11,100.45
20.1,5.76
43.17,43.81
22.15,6.77
26.29,9.34
42.63,37.65
40.93,39.52
41.81,39.63
53.42,71.66
56.53,104.46
22.02,6.05
24.01,7.48
57.55,102.14
47.98,49.49
20.17,5.48
26.2,8.83
